"PolicyName","Type","PolicyAction","ApplicationName","ApplicationType","TotalWeight"
"RAS_APPS_ebank_C","Advanced Windows","Elevate if necessary","NJBank_Security_tools_new.exe","EXE","22,5"
"RAS_APP_SymbolStageNow_N","Advanced Windows","Elevate if necessary","Symbol.StageNow.V2Client.exe","EXE","75"
"RUN_INS_\\itc.global.mahle\group\Process_technology_piston\01 Organisatorisches\150 EPM","Advanced Windows","Elevate","71684d91-79d9-4e23-88b5-dde8c229ecf0","EXE","7,5"
"RUN_INS_\\itc.global.mahle\group\Process_technology_piston\01 Organisatorisches\150 EPM","Advanced Windows","Elevate","09e85683-153c-4875-9f71-1a4801a6f245","MSI","15"
"RUN_APP_RenewPM_N","Advanced Windows","Elevate","RenewPM.exe","EXE","22,5"
"RUN_INS_itc.global.mahle\DEST-S\CC-Prueftechnik\EPMSoftware","Advanced Windows","Elevate","7fbf3769-c0f3-48af-bb24-ad6bea7bcb0c","MSI","15"
"RUN_INS_itc.global.mahle\DEST-S\CC-Prueftechnik\EPMSoftware","Advanced Windows","Elevate","9480d7cc-9733-4cdd-a589-d0db4c55c250","EXE","7,5"
"RUN_INS_\\itc.global.mahle\group\Bu4Elektronik1\07 Software\CyberArkInstall","Advanced Windows","Elevate","44ed51e2-41a1-43de-baff-80e9157709ce","EXE","15"
"RAS_APP_AlcoSenseDataManager_N","Advanced Windows","Elevate if necessary","AlcoSenseDataManager.exe","EXE","75"
"RAS_APPS_FastX_C","Advanced Windows","Elevate if necessary","diax.exe","EXE","52,5"
"RAS_APPS_FastX_C","Advanced Windows","Elevate if necessary","fastplain.exe","EXE","52,5"
"RAS_APPS_FastX_C","Advanced Windows","Elevate if necessary","fastecusimeth.exe","EXE","47,5"
"RAS_APPS_FastX_C","Advanced Windows","Elevate if necessary","updater.exe","EXE","22,5"
"RAS_APPS_FastX_C","Advanced Windows","Elevate if necessary","fastecusim.exe","EXE","47,5"
"RAS_APPS_FastX_C","Advanced Windows","Elevate if necessary","fastsimarm.exe","EXE","37,5"
"Test AK","Advanced Windows","Block","79bc130f-29bd-4bb9-9e72-3e8320e7271b","EXE","15"
"RUN_APP_MAHLE POWERTRAIN LLC","Advanced Windows","Elevate if necessary","GM_PushLocalDbToServer.exe","EXE","37,5"
"RUN_INS_esvl-svmfile01\group$\eBike_programs","Advanced Windows","Elevate","be3de57e-05f7-4790-b4d6-574c32e999a3","MSI","15"
"RUN_INS_esvl-svmfile01\group$\eBike_programs","Advanced Windows","Elevate","c01a6bec-7d09-405d-9702-b137f3d629b3","EXE","7,5"
"ALLOW_defaultCMD_TestJurij/Aleksandra","Advanced Windows","Allow","cmd.exe","EXE","55"
"ALLOW_defaultCMD_TestJurij/Aleksandra","Advanced Windows","Allow","cmd.exe","EXE","55"
"RUN_INS_S:\Glob_Manu TO3_2\20 Assembly Systems_PLC_Testing\Nedorost\_Install","Advanced Windows","Elevate","63f0fe27-7b9d-443d-8c9a-f68270466c1a","MSI","15"
"RUN_INS_S:\Glob_Manu TO3_2\20 Assembly Systems_PLC_Testing\Nedorost\_Install","Advanced Windows","Elevate","eb8ff965-0921-4864-8b55-275722f9bdb2","EXE","7,5"
"RUN_APP_epevenue_sh_C","Advanced Windows","Elevate","EPEvenue_SB.exe","EXE","15"
"RUN_APP_epevenue_sh_C","Advanced Windows","Elevate","EPEvenue_SH.exe","EXE","15"
"RUN_APP_epevenue_sh_C","Advanced Windows","Elevate","EPEvenue_SBDS.exe","EXE","22,5"
"RUN_INS_\\deva-apps01\Maintenance-SW","Advanced Windows","Elevate","ac3edb4c-2843-40b7-a991-c5e0e8c06243","EXE","7,5"
"RUN_INS_\\deva-apps01\Maintenance-SW","Advanced Windows","Elevate","7a438fbe-c8f8-4218-900d-6a4d6ded2a2d","MSI","15"
"RUN_APP_Cardfive_N","Advanced Windows","Elevate","Cardfive.exe","EXE","45"
"RUN_INS_\\itc.global.mahle\dest-s\Siemens UCL","Advanced Windows","Elevate","244bb56e-9372-4624-918a-a6d29dec01be","EXE","7,5"
"RUN_INS_\\itc.global.mahle\dest-s\Siemens UCL","Advanced Windows","Elevate","d97feb55-39b4-424b-bc22-272deffc00dc","MSI","15"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","12e6b99c-8e99-4bb2-8aad-5767ee82fec4","EXE","7,5"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","6b12d75e-0044-4fb5-8b5d-95fb68cfbceb","MSI","15"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","f2756316-214e-47c0-afe6-394377461dae","MSI","15"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","f7f16f48-5970-462f-917b-21bff91ac592","EXE","7,5"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","b09f89b6-c340-4a9b-98e4-eeea9c65d859","EXE","7,5"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","dxsetup.exe","EXE","155"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","in-sight explorer admin.exe","EXE","135"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","12bcdd5c-2462-4931-9b45-21c91cf6f44e","EXE","7,5"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","f33ccb4b-44e7-48ee-b63d-192f47a1f1c3","MSI","15"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","f4ef56d3-516a-491f-ae43-bc3724340e01","EXE","7,5"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","42972440-a617-4a9f-aa04-a433fb121817","MSI","15"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","57380f96-7bcd-4936-819c-c7c498bf9613","EXE","7,5"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","ee1586b0-47bd-4693-84f5-ea00c0200cf1","MSI","15"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","d6953efa-a70d-4e98-b3f3-953bc5b361a1","EXE","7,5"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","94e7d817-06e1-49f9-a4a1-dd9a5870fbf7","MSI","15"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","setup.exe","EXE","42,5"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","commoninstall.exe","EXE","22,5"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","setup.exe","EXE","60"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","c98de754-58db-4cb6-aa40-cbc954cbcd52","EXE","7,5"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","d5dfc765-8645-4ad4-96c5-6d75d88ca324","MSI","15"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","ea053659-546e-4abe-a469-4eb22aec451b","EXE","7,5"
