"PolicyName","Type","PolicyAction","ApplicationName","ApplicationType","TotalWeight"
"RUN_APP_Simulator Application_C","Advanced Windows","Elevate","ACX2280.exe","EXE","15"
"RUN_APP_Simulator Application_C","Advanced Windows","Elevate","ACX2250.exe","EXE","15"
"RUN_APP_Simulator Application_C","Advanced Windows","Elevate","ACX2180H.exe","EXE","7,5"
"RUN_APP_Simulator Application_C","Advanced Windows","Elevate","ACX2180.exe","EXE","15"
"RUN_APP_Simulator Application_C","Advanced Windows","Elevate","ACX2150.exe","EXE","15"
"RUN_APP_Win-HCU_N","Advanced Windows","Elevate","Win-HCU.exe","EXE","22,5"
"RAS_APP_HELiOS_N","Advanced Windows","Elevate if necessary","hel_attreditor.exe","EXE","105"
"RAS_APP_NVIDIA Install_C","Advanced Windows","Elevate if necessary","setup.exe","EXE","62,5"
"RUN_APP_CADMAN-B - WibuKe_C","Advanced Windows","Elevate","WkSvw32.exe","EXE","30"
"RUN_APP_Crystal_Report_C","Advanced Windows","Elevate","Crystal Decisions, Inc","ActiveX","40"
"RUN_APP_ibaPDAServerStatus_N","Advanced Windows","Elevate","ibapdaserverstatus.exe","EXE","135"
"RUN_APP_ncexplorer_N","Advanced Windows","Elevate","ncexplorer.exe","EXE","85"
"RAS_APP_Hik.VM.DeepLearningTool_N","Advanced Windows","Elevate if necessary","hik.vm.deeplearningtool.exe","EXE","115"
"RUN_INS_HUBT-svmfile01","Advanced Windows","Elevate","b9b32e9a-60e6-47fb-b361-2a89c1754390","MSI","15"
"RUN_INS_HUBT-svmfile01","Advanced Windows","Elevate","efc35eed-7d29-4c33-90b8-a62a21c91ec7","EXE","7,5"
"RAS_APP_CMD_C","Advanced Windows","Elevate if necessary","cmd.exe","EXE","42,5"
"RUN_APP_TechPRO_N","Advanced Windows","Elevate","commonmain.exe","EXE","85"
"RUN_APP_TechPRO_N","Advanced Windows","Elevate","techpro.exe","EXE","45"
"RUN_INS_\\SKSE-SVMFILE01\group01$\R&D\Software folder (do not delete)","Advanced Windows","Elevate","2170a63f-c4f0-40b8-b109-1138d69ede76","EXE","7,5"
"RUN_INS_\\SKSE-SVMFILE01\group01$\R&D\Software folder (do not delete)","Advanced Windows","Elevate","0e70e2c2-1a26-4783-a30a-e819a1746b0e","MSI","15"
"RUN_APP_eTaxClient_C","Advanced Windows","Elevate","eTaxClient.exe","EXE","22,5"
"RUN_INS_\\dene-svmfile01*\group01$\Maschinendaten\Installation","Advanced Windows","Elevate","b4f37061-337c-45fb-bd12-db5555aec1f4","MSI","15"
"RUN_INS_\\dene-svmfile01*\group01$\Maschinendaten\Installation","Advanced Windows","Elevate","9b416de7-6bd8-4a30-b0e6-6ddaa1b8b2d0","EXE","7,5"
"RUN_APP_ Borland Database Engine_C","Advanced Windows","Elevate","BDEADMIN.EXE","EXE","15"
"RUN_APP_ Borland Database Engine_C","Advanced Windows","Elevate","BDEADMIN.EXE","EXE","17,5"
"RUN_APP_PhotoshopElements_N","Advanced Windows","Elevate","Photoshop Elements 5.0.exe","EXE","45"
"RAS_APP_MatlabActivationModule_N","Advanced Windows","Elevate if necessary","activate_matlab.exe","EXE","75"
"RAS_APP_MatlabActivationModule_N","Advanced Windows","Elevate if necessary","activate_matlab.exe","EXE","75"
"RWB_GABank_N","Advanced Windows","Elevate","73a74c40-626f-42df-9733-1cbfb3a6cb3b","ActiveX","0"
"RWB_GABank_N","Advanced Windows","Elevate","firma_digital_ofb_v1.0.exe","EXE","120"
"RAS_APP_Smartplayer_N","Advanced Windows","Elevate if necessary","smartplayer.exe","EXE","85"
"RUN_APP_DCOMReg_N","Advanced Windows","Elevate","dcomreg.exe","EXE","115"
"RUN_APP_National_Instruments_C","Advanced Windows","Elevate","c27038af-938a-4bb0-8d75-6ca587c7b804","EXE","7,5"
"RUN_APP_National_Instruments_C","Advanced Windows","Elevate","063a47d5-4d00-432f-be4b-1f8a42a8cc22","EXE","7,5"
"RUN_INS_10.56.0.39\sw\CyberArk_C","Advanced Windows","Elevate","2fc030ec-b8c3-4a1b-8bd8-60f163289367","MSI","15"
"RUN_INS_10.56.0.39\sw\CyberArk_C","Advanced Windows","Elevate","76dff03d-d149-47cb-836c-51e54c47e61d","EXE","7,5"
"RUN_APP_SEFIP_N","Advanced Windows","Elevate","sefip.exe","EXE","30"
"RUN_APP_SEFIP_N","Advanced Windows","Elevate","sefip.exe","EXE","95"
"RUN_APP_corp_ebank_N","Advanced Windows","Elevate","71b10912-c8dc-4102-83aa-870468144316","ActiveX","0"
"RUN_APP_DMC_N","Advanced Windows","Elevate","DMC.exe","EXE","45"
"RUN_APP_Keil uVision5_N","Advanced Windows","Elevate","UV4.exe","EXE","45"
"RUN_APP_Keil uVision5_N","Advanced Windows","Elevate","UV4.exe","EXE","30"
"RUN_INS_WK_TRANSFER\INSTALL_APPs","Advanced Windows","Elevate","a28e3f3d-8e83-48cf-a82d-7b87bb9b5bb7","EXE","7,5"
"RUN_INS_WK_TRANSFER\INSTALL_APPs","Advanced Windows","Elevate","33747014-8de8-4d9c-b35f-7d84be13cbd6","MSI","15"
"RAS_APP_LorexCloud_N","Advanced Windows","Elevate if necessary","LorexCloud.exe","EXE","165"
"RAS_APP_LorexCloud_N","Advanced Windows","Elevate if necessary","lorexcloud.exe","EXE","85"
"RUN_APP_Door_Access_N","Advanced Windows","Elevate","everfocusflexIIsoftware.exe","EXE","45"
"RUN_APP_CBMain_C","Advanced Windows","Elevate","cbmain.exe","EXE","67,5"
"RUN_APP_Metus_C","Advanced Windows","Elevate","Metus.exe","EXE","22,5"
"RUN_APP_Metus_C","Advanced Windows","Elevate","Metus.exe","EXE","22,5"
"RUN_INS_\\deki-svmfile01.itc.global.mahle\misc01$\Messsoftware","Advanced Windows","Elevate","26235872-9f2d-44f7-8447-8df101aa6b45","EXE","15"
"RUN_INS_\\deki-svmfile01.itc.global.mahle\misc01$\Messsoftware","Advanced Windows","Elevate","e931f369-c453-4346-82cb-ef72f556286b","MSI","15"
"RUN_INS_\\dest-vfi01\zcm\SW_Engineering\CAD","Advanced Windows","Elevate","a69af898-522b-47ab-be6e-01eeddccdb07","EXE","15"
"RUN_INS_\\dest-vfi01\zcm\SW_Engineering\CAD","Advanced Windows","Elevate","772ff533-2cb3-4bb7-9600-61967502d14c","MSI","15"
"RUN_INS_itc\ru-group\bot\Software","Advanced Windows","Elevate","e1a739a8-acee-403c-bae3-bb4220aea8a3","EXE","7,5"
"RUN_INS_itc\ru-group\bot\Software","Advanced Windows","Elevate","d3b24e2d-3b16-4d05-a6bc-01cdd684d3bc","MSI","15"
"RUN_APP_npadmer_N","Advanced Windows","Elevate","npadmer.exe","EXE","85"
"RUN_APP_Simulator","Advanced Windows","Elevate","simulator.exe","EXE","65"
"RUN_APP_YAMAHAsetupgrouplist_N","Advanced Windows","Elevate","setupgrouplist.exe","EXE","65"
"RUN_OS_EventViewerProperties","Advanced Windows","Elevate",,"WinAdminTask","0"
"FOLPER_INS_\\ussbfilesrv01\software","Advanced Windows","Elevate","29ca52ba-9cd9-49ee-92e7-0252b58a9ad8","EXE","11,25"
"RUN_INS_ Rockwell_ Allen Bradley","Advanced Windows","Elevate","f37abb99-7392-42f8-ad9c-7096401322ac","EXE","7,5"
"RUN_INS_ Rockwell_ Allen Bradley","Advanced Windows","Elevate","4198d023-b3c7-4e7d-a062-89b33195e1a9","MSI","15"
"RUN_INS_ Rockwell_ Allen Bradley","Advanced Windows","Elevate","74b54ace-0dad-438e-810a-0c11854e635d","EXE","7,5"
"RUN_INS_ Rockwell_ Allen Bradley","Advanced Windows","Elevate","8b87049d-0ed7-4017-9d64-f054c23c24c1","MSI","15"
"RUN_INS_\\itc.global.mahle\DEST-S\Glob_Manu TO3_2\20 Assembly Systems_PLC_Testing\Schwartz\_Install","Advanced Windows","Elevate","ef490c74-4d09-473d-a72d-19cb4c293f62","EXE","7,5"
"RUN_INS_\\itc.global.mahle\DEST-S\Glob_Manu TO3_2\20 Assembly Systems_PLC_Testing\Schwartz\_Install","Advanced Windows","Elevate","ad9a9972-e53b-4f7d-adc2-a95da34078ef","MSI","15"
"RUN_APP_CompressorCaculator_C","Advanced Windows","Elevate","CompressorCaculator.exe","EXE","45"
"RUN_APP_IA300Monitor_C","Advanced Windows","Elevate","IA300Monitor.exe","EXE","22,5"
"RUN_APP_Keil uVision4_N","Advanced Windows","Elevate","Uv4.exe","EXE","45"
"RUN_APP_Keil uVision4_N","Advanced Windows","Elevate","Uv4.exe","EXE","30"
"RWB_housing_fund_N","Advanced Windows","Elevate","a9bd2937-cf03-46e4-a53a-1e648a55bdc3","ActiveX","0"
"RUN-APP-USAM-C","Advanced Windows","Elevate if necessary","10cab55e-76f5-4c14-a476-a7e7d2c1c2f3","EXE","15"
"RUN-APP-USAM-C","Advanced Windows","Elevate if necessary","dccc9593-bae1-4377-b015-e4a0c8c87a5d","MSI","30"
"RUN_APP_IntelliJ_IDEA_C","Advanced Windows","Elevate","idea64.exe","EXE","67,5"
"RAS_APP_Geomagic Design X_C","Advanced Windows","Elevate if necessary","cimlicmanager.exe","EXE","57,5"
"RUN_APP_Imtools_N","Advanced Windows","Elevate","lmtools.exe","EXE","85"
"RUN_APP_Imtools_N","Advanced Windows","Elevate","Imtools.exe","EXE","45"
"RAS_APP_AOMEI-Backupper_C","Advanced Windows","Elevate if necessary","Backupper.exe","EXE","52,5"
"ALLOW_COM_Permissions editor for files and folders","Advanced Windows","Elevate","rshx32.dll","COM","95"
"POLICY_BUNDLE_USMS_test_cell","Advanced Windows","Elevate if necessary",,"WinAdminTask","0"
"POLICY_BUNDLE_USMS_test_cell","Advanced Windows","Elevate if necessary","Morphee.exe","EXE","45"
"POLICY_BUNDLE_USMS_test_cell","Advanced Windows","Elevate if necessary","UEditor.exe","EXE","45"
"POLICY_BUNDLE_USMS_test_cell","Advanced Windows","Elevate if necessary","test.commander.exe","EXE","45"
"POLICY_BUNDLE_USMS_test_cell","Advanced Windows","Elevate if necessary","IOEditor.exe","EXE","45"
"POLICY_BUNDLE_USMS_test_cell","Advanced Windows","Elevate if necessary","SyCon.exe","EXE","45"
"RAS_APP_MMC_N","Advanced Windows","Elevate if necessary","mmc.exe","EXE","67,5"
"RAS_APP_PTCserverconfig_N","Advanced Windows","Elevate if necessary","server_config.exe","EXE","105"
"RUN_APP_GestionePeriodiMalattia_N","Advanced Windows","Elevate","gestioneperiodimalattia.exe","EXE","75"
"RUN_INS_JNPSoft","Advanced Windows","Elevate","631ddbcf-c5a3-4e99-83fa-9a6f92cc5eda","EXE","7,5"
"RUN_INS_JNPSoft","Advanced Windows","Elevate","3040837a-3d90-4371-8d2c-0aaf3cb077f2","MSI","15"
"RUN_APP_Anaconda_C","Advanced Windows","Elevate","pythonw.exe","EXE","22,5"
"RUN_INS_ \\itc.global.mahle\group\MZGsoftware\DATEV","Advanced Windows","Elevate","ac61793c-ff08-4d42-9376-355a3e13e736","EXE","7,5"
"RUN_INS_ \\itc.global.mahle\group\MZGsoftware\DATEV","Advanced Windows","Elevate","2921b2fb-d422-4a01-9f7a-95d8926cd629","MSI","15"
"RUN_INS_ \\itc.global.mahle\group\MZGsoftware\DATEV","Advanced Windows","Elevate","belegtransfer-installations-toolkit.exe","EXE","120"
"RUN_INS_MaintenanceApps_C","Advanced Windows","Elevate","d90e40f1-f3e1-4d5c-8637-7a22cbdb19dc","EXE","7,5"
"RUN_INS_MaintenanceApps_C","Advanced Windows","Elevate","16862726-4c0b-4e58-ba0f-399e5a9277ce","MSI","15"
"RUN_WEB_hmc.co.kr","Advanced Windows","Elevate","ZTUACControl.dll","COM","85"
"RUN_WEB_hmc.co.kr","Advanced Windows","Elevate","f18a60e2-c702-44c8-b2d9-2aa117aad00c","ActiveX","0"
"RUN_WEB_hmc.co.kr","Advanced Windows","Elevate","f9501df6-b298-4ad8-8037-e4a54daebeaa","ActiveX","0"
"RUN_WEB_hmc.co.kr","Advanced Windows","Elevate","1b19e40d-4fd6-4f12-8c12-0da657a735e7","ActiveX","0"
"RUN_INS_\\ussbfilesrv01\plant\Software\_C","Advanced Windows","Elevate","9668a109-7d24-4ed6-a580-cf6d5f8cdc91","EXE","15"
"RUN_APP_eDARTDataExt_c","Advanced Windows","Elevate","eDART Data Extractor.exe","EXE","22,5"
"RUN_APP_UltraSearch_C","Advanced Windows","Elevate","UltraSearch.exe","EXE","22,5"
"RUN_INS_DEST-S\CAD-Methoden\SW_Install","Advanced Windows","Elevate","8f4bdeea-18d3-4c47-8221-c145a78aa457","MSI","15"
"RUN_INS_DEST-S\CAD-Methoden\SW_Install","Advanced Windows","Elevate","6c7b466a-5cd8-4a11-9fc9-8794316e63bc","EXE","7,5"
"RUN_APP_Leica framework_N","Advanced Windows","Elevate","framework.exe","EXE","120"
"RUN_APP_Maxtor_C","Advanced Windows","Elevate","launcher.exe","EXE","15"
"RAS_APP_gsfwzx_N","Advanced Windows","Elevate if necessary","gsfwzx.exe","EXE","45"
"RAS_INS_Node.js","Advanced Windows","Elevate if necessary","node-v*-x64.msi","MSI","90"
"Temporary elevation - SXC491_VCIFORD.exe for ITC\G0013018 - 24 hours","Advanced Windows","Elevate","SXC491_VCIFORD.exe","EXE","135"
"RUN_APP_CreateInvoice_C","Advanced Windows","Elevate","kp.exe","EXE","52,5"
"RUN_APP_CreateInvoice_C","Advanced Windows","Elevate","newskkp.exe","EXE","22,5"
"RUN_APP_CreateInvoice_C","Advanced Windows","Elevate","newskkp.exe","EXE","60"
"RUN_APP_CreateInvoice_C","Advanced Windows","Elevate","newskkp.exe","EXE","22,5"
"RUN_APP_netmon_C","Advanced Windows","Elevate","netmon.exe","EXE","22,5"
"RUN_APP_netmon_C","Advanced Windows","Elevate","netmon.exe","EXE","120"
"RUN_APP_DMKextractiontool_C","Advanced Windows","Elevate","dmkextract.exe","EXE","67,5"
"RUN_APPS_Omron_C","Advanced Windows","Elevate","sysmacstudio.exe","EXE","42,5"
"RUN_APPS_Omron_C","Advanced Windows","Elevate","cx-configuratorfdt.exe","EXE","52,5"
"RUN_APPS_Omron_C","Advanced Windows","Elevate","SysmacStudio.exe","EXE","22,5"
"RUN_APPS_Omron_C","Advanced Windows","Elevate","nb-designer.exe","EXE","75"
"RUN_INS_itc\group\GBBI_Software","Advanced Windows","Elevate","b95e85a9-8484-413c-bec0-38ff277d82b8","MSI","15"
"RUN_INS_itc\group\GBBI_Software","Advanced Windows","Elevate","61d0d4a7-b304-4c72-aae1-8aa4fbb76f17","EXE","7,5"
"RUN_INS_itc\group\GBBI_Software","Advanced Windows","Elevate","3e13021d-26b2-4a04-81b3-491bb4436647","MSU","15"
"RUN_APP_Msvsmon_N","Advanced Windows","Elevate","msvsmon.exe","EXE","155"
"RUN_INS_Apprenticeship_Software","Advanced Windows","Elevate","c77d2418-4b3e-4090-9fa7-0d84feeec0bc","EXE","7,5"
"RUN_INS_Apprenticeship_Software","Advanced Windows","Elevate","b1ffcf01-490d-4da6-a9e3-876854517dc0","MSI","15"
"RAS_APP_SetApolloAcl.exe_N","Advanced Windows","Elevate if necessary","SetApolloAcl.exe","EXE","165"
"RUN_APP_leica cleanliness expert_N","Advanced Windows","Elevate","cleanlinessexpert.exe","EXE","120"
"RAS_APPS_FANUCRobotics_C","Advanced Windows","Elevate if necessary","HandlingPRO.exe","EXE","37,5"
"RAS_APPS_FANUCRobotics_C","Advanced Windows","Elevate if necessary","ROBOGUIDE.exe","EXE","37,5"
"RUN_APP_ATT_N","Advanced Windows","Elevate","att.exe","EXE","45"
"RUN_APP_GDS 2_C","Advanced Windows","Elevate","GDS2Launcher.ex","EXE","15"
"RUN_APP_GDS 2_C","Advanced Windows","Elevate","GDS2Launcher.ex","EXE","12,5"
"Solarwinds Worldwide, LLC Block Test","Advanced Windows","Block","Solarwinds Worldwide, LLC","EXE","7,5"
"Solarwinds Worldwide, LLC Block Test","Advanced Windows","Block","Solarwinds Worldwide, LLC","MSI","15"
"RAS_APP_Phglt_C","Advanced Windows","Elevate if necessary","phglt.exe","EXE","47,5"
"RUN_OS_DeviceProperties","Advanced Windows","Elevate",,"WinAdminTask","0"
"RUN_APP_PBEX_C","Advanced Windows","Elevate","PBex.exe","COM","145"
"RUN_APPS_Export_tax_N","Advanced Windows","Elevate","出口退税客户端工具.exe","EXE","45"
"RAS_APP_MicrosoftVisualStudio_C","Advanced Windows","Elevate if necessary","devenv.exe","EXE","52,5"
"RUN_APP_Epson Scan 2_N","Advanced Windows","Elevate","es2devedit.exe","EXE","15"
"RUN_OS_Digital Signature_N","Advanced Windows","Elevate","digital signature.exe","EXE","80"
"RAS_APP_DeliScan_N","Advanced Windows","Elevate if necessary","deliscan.exe","EXE","45"
"RAS_APP_DeliScan_N","Advanced Windows","Elevate if necessary","DELISCAN_screen.exe","EXE","45"
"RUN_APP_KEYENCECREATOR_N","Advanced Windows","Elevate","Activator.exe","EXE","105"
"RUN_APP_KEYENCECREATOR_N","Advanced Windows","Elevate","VS_Creator_1_5_0002.exe","EXE","105"
"RUN_APP_KEYENCECREATOR_N","Advanced Windows","Elevate","CV-XSeriesSimulation-Software_Setup_5_8_0030_de.exe","EXE","75"
"RUN_INS_P:\Equipment Control File Storage System\Software Plantwide\_C","Advanced Windows","Elevate if necessary","a54ed297-b2d4-4c2d-bcd8-cbd0267e107b","EXE","15"
"RUN_INS_P:\Equipment Control File Storage System\Software Plantwide\_C","Advanced Windows","Elevate if necessary","9ef4bf15-a50d-41b5-8f64-e6db5587d6f4","EXE","7,5"
"RUN_INS_P:\Equipment Control File Storage System\Software Plantwide\_C","Advanced Windows","Elevate if necessary","e1ef41e4-7e76-4b9f-a6d7-ea80e049935d","MSI","15"
"RUN_APP_MFCtestt_N","Advanced Windows","Elevate","testt.exe","EXE","75"
"RUN_APP_VMWare_C","Advanced Windows","Elevate","vmupdatelauncher.exe","EXE","82,5"
"RUN_APP_VMWare_C","Advanced Windows","Elevate","vmware.exe","EXE","22,5"
"RUN_APP_VMWare_C","Advanced Windows","Elevate","vmnetcfg.exe","EXE","62,5"
"RUN_APP_nav200setup_N","Advanced Windows","Elevate","nav200setup.exe","EXE","45"
"RUN_APP_TeamViewerUpdate_C","Advanced Windows","Elevate","update.exe","EXE","55"
"RUN_APP_WinCC_C","Advanced Windows","Elevate","HmiRTm.exe","EXE","22,5"
"RUN_APP_WinCC_C","Advanced Windows","Elevate","hmirtm.exe","EXE","67,5"
"RUN_APP_GIA-ST_N","Advanced Windows","Elevate","projetogiast.exe","EXE","32,5"
"RUN_APP_Morphee_C","Advanced Windows","Elevate","menv.exe","EXE","67,5"
"RUN_APP_GT_WORKS3_C","Advanced Windows","Elevate","setup.exe","EXE","45"
"RUN_APPS_Python_N","Advanced Windows","Elevate","pythonw.exe","EXE","95"
"RUN_APPS_Python_N","Advanced Windows","Elevate","python.exe","EXE","95"
"RUN_APPS_Python_N","Advanced Windows","Elevate","_conda.exe","EXE","45"
"RAS_APP_EkahauAIPro_C","Advanced Windows","Elevate if necessary","Ekahau AI Pro.exe","EXE","52,5"
"RUN_APP_NIWebService_N","Advanced Windows","Elevate","niwebservicepublisher.exe","EXE","115"
"RUN_APP_NIWebService_N","Advanced Windows","Elevate","niwebserverconfigurationcmd.exe","EXE","135"
"RUN_APP_cmd-gpresult_N","Advanced Windows","Elevate","gpresult.exe","EXE","135"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","761d1f98-083e-49db-932f-defbd7cf3470","EXE","7,5"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","d7df8237-9c54-4610-b65e-670c6fb3a8e5","MSI","15"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","5bad28cd-cb82-411c-b15d-35a71817d4ba","EXE","7,5"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","b5c5a1cf-922d-474a-99b1-23bc96c1d10e","MSI","15"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","06519d67-d3d3-4176-aa18-1713c908491c","EXE","7,5"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","4b127d6f-1c5c-40d1-8d93-ce2951806da1","MSI","15"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","805ed7c2-826c-4eea-9f59-d10ac0836192","EXE","7,5"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","854f40ac-f47f-4b60-9bbe-701e582034e7","MSI","15"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","c90d2c27-895c-44ca-806b-08b07e2010df","EXE","7,5"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","89da930f-06cb-4653-a7ba-9de707e7157b","MSI","15"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","fe65431d-00d8-46bd-94da-c19b8644eb93","EXE","7,5"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","1d9294ee-8a0d-4359-90a6-ba6e30fff2fc","MSI","15"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","6156326c-35cd-46c4-90a0-2d27437ea4c9","EXE","7,5"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","0e08a27f-5a20-489e-804c-7155bea0e569","MSI","15"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","23d2286a-9936-4a89-8881-0ea149771975","EXE","7,5"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","74ca4f72-622a-4cfb-bed4-731dd2204bc6","MSI","15"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","33b597a3-a49d-449c-88a2-08d48832b664","EXE","7,5"
"RUN_INS_Develop&TestApps_C","Advanced Windows","Elevate","c9b83ef7-948b-42d0-ad23-38462a9c3a52","MSI","15"
"Run_App_HSPET_N","Advanced Windows","Elevate","HSPET2.0.exe","EXE","45"
"RUN_APP_iVMS_C","Advanced Windows","Elevate","ivms-4200.exe","EXE","42,5"
"RUN_APP_iVMS_C","Advanced Windows","Elevate","iVMS-4200.Framework.C.exe","EXE","15"
"RUN_APP_ComworksJ2534_C","Advanced Windows","Elevate","comworksj2534configure.exe","EXE","27,5"
"RAS_APP_See_N","Advanced Windows","Elevate if necessary","see.exe","EXE","135"
"RUN_APP_INCA_mda_C","Advanced Windows","Elevate","inca.exe","EXE","22,5"
"RAS_APP_Matlab_N","Advanced Windows","Elevate if necessary","matlab.exe","EXE","135"
"RAS_APP_Matlab_N","Advanced Windows","Elevate if necessary","matlab.exe","EXE","45"
"RAS_APP_Matlab_N","Advanced Windows","Elevate if necessary","matlab.exe","EXE","22,5"
"RAS_APP_Matlab_N","Advanced Windows","Elevate if necessary","matlab.exe","EXE","22,5"
"RAS_APP_Matlab_N","Advanced Windows","Elevate if necessary","matlab.exe","EXE","22,5"
"RUN_APP_DiskManagementConsole_C","Advanced Windows","Elevate",,"WinAdminTask","0"
"RUN_APP_DiskManagementConsole_C","Advanced Windows","Elevate","diskmgmt.msc","MSU","155"
"RUN_INS_ByWS1_C","Advanced Windows","Elevate","330a1819-aaf5-4743-8190-878132e39e19","MSI","15"
"RUN_INS_ByWS1_C","Advanced Windows","Elevate","1aa96b96-4187-438a-92d4-95ff830c0a69","MSI","15"
"RUN_INS_ByWS1_C","Advanced Windows","Elevate","2c3fe5e6-1b40-49ec-8b6c-e01f81e7a239","MSI","15"
"RUN_INS_ByWS1_C","Advanced Windows","Elevate","21514982-634a-49e4-93d2-d84d2b3203ca","EXE","7,5"
"RUN_INS_ByWS1_C","Advanced Windows","Elevate","6c7beebf-c23b-4d01-8cd9-3c8b6c665833","EXE","7,5"
"RUN_INS_ByWS1_C","Advanced Windows","Elevate","0c8aef38-5678-4db1-b81b-43b2a9794a32","EXE","7,5"
"RUN_INS_\\dest-vfu01.itc.global.mahle\user02_02","Advanced Windows","Elevate","3b2624f1-352f-4371-aed9-dadf1cebe050","EXE","7,5"
"RUN_INS_\\dest-vfu01.itc.global.mahle\user02_02","Advanced Windows","Elevate","95b31935-6d29-4b24-a690-0c1be676ad21","MSI","15"
"RUN_APP_cmd-ipconfig/","Advanced Windows","Elevate","ipconfig.exe","EXE","120"
"ALLOW_COM_RenameDrive","Advanced Windows","Elevate","Shell32.dll","COM","45"
"ALLOW_COM_FileOperation","Advanced Windows","Elevate","windows.storage.dll","COM","85"
"RUN_APP_Eagle_3D_N","Advanced Windows","Elevate","offlineeditor.exe","EXE","85"
"RUN_APP_PTP","Advanced Windows","Elevate","ptp.exe","EXE","82,5"
"RUN_APP_EmbarcaderoIBConsole_C","Advanced Windows","Elevate","ibconsole.exe","EXE","105"
"RUN_APP_EmbarcaderoIBConsole_C","Advanced Windows","Elevate","ibconsole.exe","EXE","90"
"RUN_APP_EmbarcaderoIBConsole_C","Advanced Windows","Elevate","IBConsole.exe","EXE","7,5"
"RUN_APP_KalipsoClient_N","Advanced Windows","Elevate","kclient.exe","EXE","90"
"RUN_APP_gjj_N","Advanced Windows","Elevate","gjj.exe","EXE","105"
"RUN_APP_gjj_N","Advanced Windows","Elevate","GJJ.EXE","EXE","45"
"RUN_APP_TAEM2_N","Advanced Windows","Elevate","*.exe","EXE","30"
"RUN_APP_svnclient_N","Advanced Windows","Elevate","svnclient.exe","EXE","22,5"
"RAS_APP_ATXManager_N","Advanced Windows","Elevate if necessary","atxmanager.exe","EXE","45"
"RUN_APP_Wireshark_N","Advanced Windows","Elevate","npcaphelper.exe","EXE","125"
"RUN_APP_AUTOLT3_N","Advanced Windows","Elevate","Au3Info_x64.exe","EXE","30"
"RUN_APP_AUTOLT3_N","Advanced Windows","Elevate","ncexplorer.exe","EXE","30"
"RUN_APP_3Dconnexion_c","Advanced Windows","Elevate","3DxNS_Local.exe","EXE","22,5"
"RUN_APP_3Dconnexion_c","Advanced Windows","Elevate","3DxService.exe","EXE","45"
"RUN_APP_GT softGOT2000","Advanced Windows","Elevate","sgt2000main.exe","EXE","27,5"
"RUN_APP_GT softGOT2000","Advanced Windows","Elevate","sgtcmmnd2.exe","EXE","27,5"
"RUN_APP_InfinityClient_N","Advanced Windows","Elevate","infinityclient.exe","EXE","125"
"RUN_APP_Simcenter_Spectral_Testing_C","Advanced Windows","Elevate","LmsHq_ProductVC_LmsSpectralAcquisition_v1.exe","EXE","22,5"
"RUN_APP_CSXupdate.exe_C","Advanced Windows","Elevate","csxupdate.exe","EXE","20"
"RAS_APP_HexagonLauncher_N","Advanced Windows","Elevate if necessary","HexagonLauncher.exe","EXE","90"
"RAS_APP_HexagonLauncher_N","Advanced Windows","Elevate if necessary","settingseditor.exe","EXE","55"
"RAS_APP_HexagonLauncher_N","Advanced Windows","Elevate if necessary","pcdlrn.exe","EXE","125"
"RUN_APP_Qt Creator 4.6.2 (Enterprise)_C","Advanced Windows","Elevate","qtcreator.exe","EXE","15"
"RUN_APP_Qt Creator 4.6.2 (Enterprise)_C","Advanced Windows","Elevate","qtcreator.exe","EXE","22,5"
"RUN_APP_Qt Creator 4.6.2 (Enterprise)_C","Advanced Windows","Elevate","qtcreator.exe","EXE","75"
"RUN_APP_EnterLite_C","Advanced Windows","Elevate","enterlite.exe","EXE","22,5"
"RUN_APP_EnterLite_C","Advanced Windows","Elevate","EnterLite.exe","EXE","22,5"
"RUN_APP_GANSSDriverg_N","Advanced Windows","Elevate","DeviceDriver.exe","EXE","75"
"RUN_APP_USDA-Shopfloor-Bundle_c","Advanced Windows","Elevate","n8Cps 190515.exe","EXE","22,5"
"RUN_APP_USDA-Shopfloor-Bundle_c","Advanced Windows","Elevate","n8Cps 210714.exe","EXE","22,5"
"RUN_APP_USDA-Shopfloor-Bundle_c","Advanced Windows","Elevate","n8Cps 230816.exe","EXE","22,5"
"RUN_APP_USDA-Shopfloor-Bundle_c","Advanced Windows","Elevate","n8Cps.-170803.exe","EXE","22,5"
